"acturial_firm_name","plan_name","plan_id","year"
"Buck Consultants ","West Virginia Teachers’ Retirement System",2006,"2020"
"Buck Consultants","West Virginia Teachers’ Retirement System",2006,"2021"
"Buck Consultants","West Virginia Teachers’ Retirement System",2006,"2021"
"Conduent","West Virginia State Police Retirement System",2008,"2016"
"Conduent","West Virginia State Police Retirement System",2008,"2017"
"Conduent","West Virginia State Police Retirement System",2008,"2017"
"Buck ","West Virginia State Police Retirement System",2008,"2018"
"Buck ","West Virginia State Police Retirement System",2008,"2018"
"Buck ","West Virginia State Police Retirement System",2008,"2019"
"Buck ","West Virginia State Police Retirement System",2008,"2019"
"Conduent","West Virginia Deputy Sheriff Retirement System",2009,"2017"
"Buck ","West Virginia State Police Retirement System",2008,"2020"
"Buck ","West Virginia State Police Retirement System",2008,"2020"
"Consolidated Public Retirement Board Actuary","West Virginia Deputy Sheriff Retirement System",2009,"2016"
"Consolidated Public Retirement Board Actuary","West Virginia Deputy Sheriff Retirement System",2009,"2016"
"Consolidated Public Retirement Board Actuary","West Virginia Deputy Sheriff Retirement System",2009,"2018"
"Conduent","West Virginia Deputy Sheriff Retirement System",2009,"2017"
"Consolidated Public Retirement Board Actuary","West Virginia Deputy Sheriff Retirement System",2009,"2018"
"Consolidated Public Retirement Board Actuary","West Virginia Deputy Sheriff Retirement System",2009,"2019"
"Consolidated Public Retirement Board Actuary","West Virginia Deputy Sheriff Retirement System",2009,"2019"
"Conduent","West Virginia Judges’ Retirement System",2010,"2018"
"Consolidated Public Retirement Board Actuary","West Virginia Deputy Sheriff Retirement System",2009,"2020"
"Consolidated Public Retirement Board Actuary","West Virginia Deputy Sheriff Retirement System",2009,"2020"
"Buck Consultants","West Virginia Judges’ Retirement System",2010,"2016"
"Buck Consultants","West Virginia Judges’ Retirement System",2010,"2016"
"Conduent","West Virginia Judges’ Retirement System",2010,"2017"
"Conduent","West Virginia Judges’ Retirement System",2010,"2017"
"Conduent","West Virginia Judges’ Retirement System",2010,"2018"
"Conduent","West Virginia Public Employees Retirement System",2013,"2016"
"Buck Consultants","West Virginia Judges’ Retirement System",2010,"2019"
"Buck Consultants","West Virginia Judges’ Retirement System",2010,"2019"
"Buck Consultants","West Virginia Judges’ Retirement System",2010,"2020"
"Buck Consultants","West Virginia Judges’ Retirement System",2010,"2020"
"Conduent","West Virginia Public Employees Retirement System",2013,"2016"
"Conduent","West Virginia Public Employees Retirement System",2013,"2017"
"Conduent","West Virginia Public Employees Retirement System",2013,"2017"
"Buck Global, LLC","West Virginia Public Employees Retirement System",2013,"2018"
"Buck Global, LLC","West Virginia Public Employees Retirement System",2013,"2019"
"Buck Global, LLC","West Virginia Public Employees Retirement System",2013,"2018"
"Buck Global, LLC","West Virginia Public Employees Retirement System",2013,"2020"
"Buck Global, LLC","West Virginia Public Employees Retirement System",2013,"2019"
"Buck Global, LLC","West Virginia Public Employees Retirement System",2013,"2020"
"Buck Consultants","West Virginia Public Employees Retirement System",2013,"2021"
"Buck Consultants","West Virginia Public Employees Retirement System",2013,"2021"
"GRS","Charleston Firemen's Pension Relief Fund",2024,"2016"
"GRS","Charleston Firemen's Pension Relief Fund",2024,"2016"
"GRS","Charleston Firemen's Pension Relief Fund",2024,"2017"
"GRS","Charleston Firemen's Pension Relief Fund",2024,"2017"
"GABRIEL, ROEDER, SMITH & COMPANY ","Wisconsin Retirement System",2063,"2016"
"Bolton","Charleston Firemen's Pension Relief Fund",2024,"2018"
"Bolton","Charleston Firemen's Pension Relief Fund",2024,"2018"
"Bolton","Charleston Firemen's Pension Relief Fund",2024,"2019"
"Bolton","Charleston Firemen's Pension Relief Fund",2024,"2019"
"Bolton","Charleston Firemen's Pension Relief Fund",2024,"2020"
"Bolton","Charleston Firemen's Pension Relief Fund",2024,"2020"
"GABRIEL, ROEDER, SMITH & COMPANY ","Wisconsin Retirement System",2063,"2016"
"GABRIEL, ROEDER, SMITH & COMPANY ","Wisconsin Retirement System",2063,"2017"
"GABRIEL, ROEDER, SMITH & COMPANY ","Wisconsin Retirement System",2063,"2017"
"Conduent","Milwaukee County Employees Retirement System",2064,"2016"
"GABRIEL, ROEDER, SMITH & COMPANY ","Wisconsin Retirement System",2063,"2018"
"GABRIEL, ROEDER, SMITH & COMPANY ","Wisconsin Retirement System",2063,"2018"
"GABRIEL, ROEDER, SMITH & COMPANY ","Wisconsin Retirement System",2063,"2019"
"GABRIEL, ROEDER, SMITH & COMPANY ","Wisconsin Retirement System",2063,"2019"
"GABRIEL, ROEDER, SMITH & COMPANY ","Wisconsin Retirement System",2063,"2020"
"GABRIEL, ROEDER, SMITH & COMPANY ","Wisconsin Retirement System",2063,"2020"
"GRS","Wisconsin Retirement System",2063,"2021"
"GRS","Wisconsin Retirement System",2063,"2021"
"Conduent","Milwaukee County Employees Retirement System",2064,"2016"
"Segal","Milwaukee County Employees Retirement System",2064,"2017"
"Segal","Milwaukee County Employees Retirement System",2064,"2018"
"Segal","Milwaukee County Employees Retirement System",2064,"2017"
"Segal","Milwaukee County Employees Retirement System",2064,"2018"
"Segal","Milwaukee County Employees Retirement System",2064,"2019"
"Segal","Milwaukee County Employees Retirement System",2064,"2019"
"Segal","Milwaukee County Employees Retirement System",2064,"2020"
"Segal","Milwaukee County Employees Retirement System",2064,"2020"
"Segal","Milwaukee County Employees Retirement System",2064,"2021"
"Segal","Milwaukee County Employees Retirement System",2064,"2021"
"Conduent","Milwaukee Employees Retirement System",2066,"2017"
"Conduent","Milwaukee Employees Retirement System",2066,"2016"
"Conduent","Milwaukee Employees Retirement System",2066,"2016"
"Cavanaugh Macdonald","Milwaukee Employees Retirement System",2066,"2018"
"Conduent","Milwaukee Employees Retirement System",2066,"2017"
"Cavanaugh Macdonald","Milwaukee Employees Retirement System",2066,"2018"
"Cavanaugh Macdonald","Milwaukee Employees Retirement System",2066,"2019"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2016"
"Cavanaugh Macdonald","Milwaukee Employees Retirement System",2066,"2019"
"Cavanaugh Macdonald","Milwaukee Employees Retirement System",2066,"2020"
"Cavanaugh Macdonald","Milwaukee Employees Retirement System",2066,"2020"
"Cavanaugh Macdonald","Milwaukee Employees Retirement System",2066,"2021"
"Cavanaugh Macdonald","Milwaukee Employees Retirement System",2066,"2021"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2016"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2017"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2017"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2018"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2018"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2019"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2019"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2020"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2020"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2021"
"Gabriel, Roeder, Smith & Company","Wyoming Retirement System, Public Employees’ Pension Plan",2067,"2021"
"Bartel Associates LLC","Concord City Employees Pension Plan",2085,"2016"
"Bartel Associates, LLC","Piedmont Police and Fire Pens Fund",2084,"2016"
"Van Iwaarden Associates","Richmond General Pension Fund",2087,"2016"
"Milliman Inc.","El Cerrito Employee Pens Trust Fund",2086,"2016"
"Van Iwaarden Associates","Richmond Police and Firemans Pension Plan",2088,"2016"
"Rael & Letson","Los Angeles County Metropolitan Transit Authority Maintenance Employees Retirement Plan",2094,"2016"
"Bartel Associates LLC","Santa Barbara Fire and Police Retirement System",2092,"2016"
"Bartel Associates, LLC","Contra Costa Water District Retirement Plan",2093,"2016"
"Willis Towers Watson","Los Angeles County Metropolitan Transit Authority Communication Union Retirement Plan",2096,"2016"
"Willis Towers Watson","Los Angeles County Metropolitan Transit Authority Non-Contract Employees Retirement Plan",2095,"2016"
"Bartel Associates","San Joaquin Regional Transit District Retirement System",2100,"2016"
"Cheiron, Inc","Sacramento Regional Transit District ATU/IBEW Retirement Plan",2097,"2016"
"Cheiron, Inc","Sacramento Regional Transit District Salaried Retirement Plan",2098,"2016"
"Cheiron","San Diego Transit Corporation Retirement System",2099,"2016"
"Cheiron Inc","Santa Clara County Transit District Amalgamated Transit Union Pension Plan",2101,"2016"
"Nyhart","Indiana State Teachers Retirement Fund",3215,"2016"
"Nyhart","Indiana State Teachers Retirement Fund",3215,"2016"
"Nyhart","Indiana State Teachers Retirement Fund",3215,"2017"
"Cavanaugh Macdonald","Indiana State Teachers Retirement Fund",3215,"2019"
"Nyhart","Indiana State Teachers Retirement Fund",3215,"2017"
"Cavanaugh Macdonald","Indiana State Teachers Retirement Fund",3215,"2018"
"Cavanaugh Macdonald","Indiana State Teachers Retirement Fund",3215,"2018"
"Cavanaugh Macdonald","Indiana State Teachers Retirement Fund",3215,"2019"
"Cavanaugh Macdonald","Indiana State Teachers Retirement Fund",3215,"2020"
"Cavanaugh Macdonald","Indiana State Teachers Retirement Fund",3215,"2020"
"GRS","Minneapolis Employees Retirement Fund",3411,"2017"
"Cavanaugh Macdonald","Indiana State Teachers Retirement Fund",3215,"2021"
"Cavanaugh Macdonald","Indiana State Teachers Retirement Fund",3215,"2021"
"GRS","Minneapolis Employees Retirement Fund",3411,"2017"
"GRS","Minneapolis Employees Retirement Fund",3411,"2018"
"GRS","Minneapolis Employees Retirement Fund",3411,"2016"
"GRS","Minneapolis Employees Retirement Fund",3411,"2016"
"GRS","Minneapolis Employees Retirement Fund",3411,"2018"
"Segal Consulting","Dallas Police and Fire Pension System-Supplemental",4953,"2016"
"Segal Consulting","Dallas Police and Fire Pension System-Supplemental",4953,"2016"
"Segal Consulting","Dallas Police and Fire Pension System-Supplemental",4953,"2017"
"Segal Consulting","Dallas Police and Fire Pension System-Supplemental",4953,"2017"
"Segal Consulting","Dallas Police and Fire Pension System-Supplemental",4953,"2018"
"Segal Consulting","Dallas Police and Fire Pension System-Supplemental",4953,"2018"
"Segal Consulting","Dallas Police and Fire Pension System-Supplemental",4953,"2020"
"Segal Consulting","Dallas Police and Fire Pension System-Supplemental",4953,"2019"
"Segal Consulting","Dallas Police and Fire Pension System-Supplemental",4953,"2019"
"Segal Consulting","Dallas Police and Fire Pension System-Supplemental",4953,"2020"
"Gabriel Roeder Smith and Company","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2016"
"Gabriel Roeder Smith and Company","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2017"
"Gabriel Roeder Smith and Company","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2016"
"Gabriel Roeder Smith and Company","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2018"
"Gabriel Roeder Smith and Company","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2017"
"Foster and Foster","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2019"
"Gabriel Roeder Smith and Company","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2018"
"Foster and Foster","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2021"
"Foster and Foster","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2019"
"Foster and Foster","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2020"
"Foster and Foster","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2020"
"Foster and Foster","Arizona Public Safety Personnel Retirement System - Tier 3",6060,"2021"
"California Public Employees’ Retirement System - Actuarial Office","Miscellaneous Plan of the County Of Riverside",8909,"2016"
"California Public Employees’ Retirement System - Actuarial Office","Miscellaneous Plan of the County Of Riverside",8909,"2016"
"California Public Employees’ Retirement System - Actuarial Office","Miscellaneous Plan of the County Of Riverside",8909,"2017"
"California Public Employees’ Retirement System - Actuarial Office","Miscellaneous Plan of the County Of Riverside",8909,"2017"
"California Public Employees’ Retirement System - Actuarial Office","Miscellaneous Plan of the County Of Riverside",8909,"2019"
"California Public Employees’ Retirement System - Actuarial Office","Miscellaneous Plan of the County Of Riverside",8909,"2018"
"California Public Employees’ Retirement System - Actuarial Office","Miscellaneous Plan of the County Of Riverside",8909,"2018"
"California Public Employees’ Retirement System - Actuarial Office","Miscellaneous Plan of the County Of Riverside",8909,"2019"
"California Public Employees’ Retirement System - Actuarial Office","Miscellaneous Plan of the County Of Riverside",8909,"2020"
"California Public Employees’ Retirement System - Actuarial Office","Miscellaneous Plan of the County Of Riverside",8909,"2020"
"California Public Employees' Retirement System: Actuarial Office","Safety Plan of the County Of Riverside",8910,"2017"
"California Public Employees' Retirement System: Actuarial Office","Safety Plan of the County Of Riverside",8910,"2016"
"California Public Employees' Retirement System: Actuarial Office","Safety Plan of the County Of Riverside",8910,"2016"
"California Public Employees' Retirement System: Actuarial Office","Safety Plan of the County Of Riverside",8910,"2017"
"California Public Employees' Retirement System: Actuarial Office","Safety Plan of the County Of Riverside",8910,"2019"
"California Public Employees' Retirement System: Actuarial Office","Safety Plan of the County Of Riverside",8910,"2018"
"California Public Employees' Retirement System: Actuarial Office","Safety Plan of the County Of Riverside",8910,"2018"
"California Public Employees' Retirement System: Actuarial Office","Safety Plan of the County Of Riverside",8910,"2019"
"California Public Employees' Retirement System: Actuarial Office","Safety Plan of the County Of Riverside",8910,"2020"
"California Public Employees' Retirement System: Actuarial Office","Safety Plan of the County Of Riverside",8910,"2020"
"The Office Of The State Actuary","Washington State Patrol Retirement System",65919,"2017"
"The Office Of The State Actuary","Washington State Patrol Retirement System",65919,"2016"
"The Office Of The State Actuary","Washington State Patrol Retirement System",65919,"2016"
"The Office Of The State Actuary","Washington State Patrol Retirement System",65919,"2017"
"The Office Of The State Actuary","Washington State Patrol Retirement System",65919,"2019"
"The Office Of The State Actuary","Washington State Patrol Retirement System",65919,"2018"
"The Office Of The State Actuary","Washington State Patrol Retirement System",65919,"2018"
"The Office Of The State Actuary","Washington State Patrol Retirement System",65919,"2019"
"Gabriel Roeder Smith & Company","South Carolina National Guard Pension System",3386016,"2017"
"The Office Of The State Actuary","Washington State Patrol Retirement System",65919,"2020"
"The Office Of The State Actuary","Washington State Patrol Retirement System",65919,"2020"
"Gabriel Roeder Smith & Company","South Carolina National Guard Pension System",3386016,"2016"
"Gabriel Roeder Smith & Company","South Carolina National Guard Pension System",3386016,"2016"
"Gabriel Roeder Smith & Company","South Carolina National Guard Pension System",3386016,"2017"
"Gabriel Roeder Smith & Company","South Carolina National Guard Pension System",3386016,"2019"
"Gabriel Roeder Smith & Company","South Carolina National Guard Pension System",3386016,"2018"
"Gabriel Roeder Smith & Company","South Carolina National Guard Pension System",3386016,"2018"
"Gabriel Roeder Smith & Company","South Carolina National Guard Pension System",3386016,"2019"
"Bartel Associates","City Of Berkeley",3395455,"2016"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2017"
"Richard D. Kern","Eureka Fire and Police Retirement Sys",3395477,"2016"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2016"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2016"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2017"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2018"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2019"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2018"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2019"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2020"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2020"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2021"
"CHEIRON","Maine Public Employees Retirement System - Consolidated Plan for Participating Local Districts",4063742,"2021"
"GRS Retirement Consulting","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2017"
"GRS - Gabriel Roeder Smith & Company Consultants & Actuaries","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2016"
"GRS - Gabriel Roeder Smith & Company Consultants & Actuaries","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2016"
"GRS Retirement Consulting","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2017"
"GRS Retirement Consulting","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2018"
"GRS Retirement Consulting","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2018"
"GRS Retirement Consulting","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2021"
"GRS Retirement Consulting","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2019"
"GRS Retirement Consulting","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2019"
"GRS Retirement Consulting","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2020"
"GRS Retirement Consulting","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2020"
"GRS Retirement Consulting","Employees Retirement System of Texas - Law Enforcement and Custodial Officer Supplemental Retirement Fund",4063743,"2021"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2016"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2016"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2017"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2017"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2019"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2018"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2018"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2021"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2019"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2020"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2020"
"Segal","Public Employees Retirement System of Nevada - Police and Firefighters Plan",4063744,"2021"
"Cavanaugh Macdonald","Georgia Military Pension Fund",4063746,"2016"
"Cavanaugh Macdonald","Georgia Military Pension Fund",4063746,"2016"
"Cavanaugh Macdonald","Georgia Military Pension Fund",4063746,"2017"
"Cavanaugh Macdonald","Georgia Military Pension Fund",4063746,"2017"
"Cavanaugh Macdonald","Georgia Military Pension Fund",4063746,"2019"
"Cavanaugh Macdonald","Georgia Military Pension Fund",4063746,"2018"
"Cavanaugh Macdonald","Georgia Military Pension Fund",4063746,"2018"
"Cavanaugh Macdonald","Georgia Military Pension Fund",4063746,"2019"
"Cavanaugh Macdonald","Georgia Legislative Retirement System",4063747,"2017"
"Cavanaugh Macdonald","Georgia Legislative Retirement System",4063747,"2016"
"Cavanaugh Macdonald","Georgia Legislative Retirement System",4063747,"2016"
"Cavanaugh Macdonald","Georgia Legislative Retirement System",4063747,"2018"
"Cavanaugh Macdonald","Georgia Legislative Retirement System",4063747,"2017"
"Cavanaugh Macdonald","Georgia Legislative Retirement System",4063747,"2018"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2017"
"Cavanaugh Macdonald","Georgia Legislative Retirement System",4063747,"2019"
"Cavanaugh Macdonald","Georgia Legislative Retirement System",4063747,"2019"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2016"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2016"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2017"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2020"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2018"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2018"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2019"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2019"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2020"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2016"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2021"
"DEAN ACTUARIES. LLC","Oklahoma Municipal Employees Retirement Fund",4063748,"2021"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2016"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2018"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2017"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2017"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2018"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2019"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2019"
"Segal","Atlanta Board of Education Fund",4063752,"2017"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2020"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2020"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2021"
"Gabriel, Roeder, Smith & Company","North Dakota Employees Retirement System - Main System",4063749,"2021"
"Segal","Atlanta Board of Education Fund",4063752,"2016"
"Segal","Atlanta Board of Education Fund",4063752,"2016"
"Segal","Atlanta Board of Education Fund",4063752,"2017"
"Segal","Atlanta Board of Education Fund",4063752,"2020"
"Segal","Atlanta Board of Education Fund",4063752,"2018"
"Segal","Atlanta Board of Education Fund",4063752,"2018"
"Segal","Atlanta Board of Education Fund",4063752,"2019"
"Segal","Atlanta Board of Education Fund",4063752,"2019"
"Segal","Atlanta Board of Education Fund",4063752,"2020"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2017"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2016"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2016"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2017"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2018"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2018"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2021"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2019"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2019"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2020"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2020"
"Cavanaugh Macdonald Consulting LLC","Alabama Employees' Retirement System (ERS)",1,"2021"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2016"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2016"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2017"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2017"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2018"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2018"
"Cavanaugh Macdonald Consulting , LLC","Alabama Judicial Retirement Fund (JRF)",3,"2016"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2019"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2019"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2020"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2020"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2021"
"Cavanaugh Macdonald Consulting , LLC","Alabama Teachers' Retirement System (TRS)",2,"2021"
"Cavanaugh Macdonald Consulting , LLC","Alabama Judicial Retirement Fund (JRF)",3,"2016"
